"object_id";"colonne";"valeur"
"51";"date_ingestion";"2025-10-17 15:14:35"
"52";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13597-INFO-EMP-LINKEDIN-FR-1096203262.html"
"52";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13597-INFO-EMP-LINKEDIN-FR-1096203262.html"
"52";"date_ingestion";"2025-10-17 15:14:35"
"53";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13598-INFO-EMP-LINKEDIN-FR-1640330606.html"
"53";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13598-INFO-EMP-LINKEDIN-FR-1640330606.html"
"53";"date_ingestion";"2025-10-17 15:14:35"
"54";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13599-INFO-EMP-LINKEDIN-FR-1624194363.html"
"54";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13599-INFO-EMP-LINKEDIN-FR-1624194363.html"
"54";"date_ingestion";"2025-10-17 15:14:35"
"55";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13600-INFO-EMP-LINKEDIN-FR-1451233659.html"
"55";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13600-INFO-EMP-LINKEDIN-FR-1451233659.html"
"55";"date_ingestion";"2025-10-17 15:14:35"
"56";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13601-INFO-EMP-LINKEDIN-FR-1628385746.html"
"56";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13601-INFO-EMP-LINKEDIN-FR-1628385746.html"
"56";"date_ingestion";"2025-10-17 15:14:35"
"57";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13602-INFO-EMP-LINKEDIN-FR-1612979912.html"
"57";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13602-INFO-EMP-LINKEDIN-FR-1612979912.html"
"57";"date_ingestion";"2025-10-17 15:14:35"
